claim_id	claim	command_or_script	artifact_path	status	fail_kind	verified_at_sha	verified_at_utc
adpause_impact	oracle with AdPause/AdResume classified vs neutral, tolerance_s=90	measure_divergence.sh	evidence/adpause_impact__20260801T123609Z__c228db4-dirty.tsv	RECORDED		c228db4-dirty	2026-08-01 12:36:09
clickhouse_rules_audit	phoenix schema and serving design audited against the 31 ClickHouse best-practice rules, with the key-order deviation measured rather than assumed	evidence.sh	evidence/clickhouse_rules_audit__20260801T144112Z__33cc777-dirty.tsv	RECORDED		33cc777-dirty	2026-08-01 14:41:12
clickstack_integration	ClickStack/HyperDX provisioned against our ClickHouse Cloud service, with the five panel queries run	evidence.sh	evidence/clickstack_integration__20260801T160716Z__d2b6c86-dirty.tsv	PASS		d2b6c86-dirty	2026-08-01 16:07:16
derive_idempotence	running the batch derive twice: it doubles concurrency, and which invariants do and do not catch it	evidence.sh	evidence/derive_idempotence__20260801T143338Z__f9bfa0e-dirty.tsv	FAIL	finding	f9bfa0e-dirty	2026-08-01 14:33:38
derive_phoenix	guarded batch derivation into phoenix, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix__20260801T190315Z__70d7c87-dirty.tsv	PASS		70d7c87-dirty	2026-08-01 19:03:15
derive_phoenix_idem_a	guarded batch derivation into phoenix_idem_a, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_idem_a__20260801T161928Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:28
derive_phoenix_idem_b	guarded batch derivation into phoenix_idem_b, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_idem_b__20260801T161938Z__dc0d374-dirty.tsv	PASS		dc0d374-dirty	2026-08-01 16:19:38
derive_phoenix_next	guarded batch derivation into phoenix_next, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_next__20260801T173506Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 17:35:06
derive_phoenix_scratch_rehearsal	guarded batch derivation into phoenix_scratch_rehearsal, with the post-conditions that would catch a double derive	derive.sh	evidence/derive_phoenix_scratch_rehearsal__20260801T143431Z__f9bfa0e-dirty.tsv	PASS		f9bfa0e-dirty	2026-08-01 14:34:31
end_rule_first_vs_last	cost of treating the FIRST VideoSessionEnd as terminal instead of the last, frozen slice	end_rule_measurement.sh	evidence/end_rule_first_vs_last__20260801T174157Z__d8ab38e-dirty.tsv	RECORDED		d8ab38e-dirty	2026-08-01 17:41:57
exact_layer_parity	exact boundary layer: invariants asserted, minute-layer comparison recorded (2026-07-26 00:00:00 -> 2026-07-27 00:00:00)	exact_layer_parity.sh	evidence/exact_layer_parity__20260801T180326Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 18:03:26
filter_shapes	read_rows, read_bytes, marks, parts and EXPLAIN key condition per filter shape, cold and warm	bench.sh	evidence/filter_shapes__20260801T175645Z__8f6fa49-dirty.tsv	RECORDED		8f6fa49-dirty	2026-08-01 17:56:45
ingest_10x_phoenix_next	ten generations of the corpus into phoenix_next in rules-compliant batches, with lateness probes	ingest_10x.sh	evidence/ingest_10x_phoenix_next__20260801T190314Z__70d7c87-dirty.tsv	PASS		70d7c87-dirty	2026-08-01 19:03:14
ingest_probe	is the live stream moving, and does its event_timestamp carry source event time or wall-clock arrival time	ingest_probe.sh	evidence/ingest_probe__20260801T134402Z__97f13f1-dirty.tsv	RECORDED		97f13f1-dirty	2026-08-01 13:44:02
ingested_at_nondeterminism	ingested_at is re-evaluated at read time for pre-ALTER parts, so a watermark filter erases the validated dataset	prove_ingested_at.sh	evidence/ingested_at_nondeterminism__20260801T130349Z__ed4042c-dirty.tsv	RECORDED		ed4042c-dirty	2026-08-01 13:03:49
key_order_candidates	granules read per filter shape for three candidate ORDER BY keys, measured on identical data	key_order_experiment.sh	evidence/key_order_candidates__20260801T143931Z__33cc777-dirty.tsv	RECORDED		33cc777-dirty	2026-08-01 14:39:31
lateness_classifier	each lateness class produced by a real arrival through the landing table	test_lateness_classifier.sh	evidence/lateness_classifier__20260801T192721Z__e8e3f60-dirty.tsv	PASS		e8e3f60-dirty	2026-08-01 19:27:21
lazy_materialization	does query_plan_optimize_lazy_materialization engage on our access patterns, and what does it save	evidence.sh	evidence/lazy_materialization__20260801T142108Z__a5bca8c-dirty.tsv	RECORDED		a5bca8c-dirty	2026-08-01 14:21:08
naive_baseline	naive session-span vs foreground-only, same minute rule, densified, clipped to the overlapping range	naive_baseline.sh	evidence/naive_baseline__20260801T181032Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 18:10:32
naive_baseline_gate	range/balance gate before the naive-vs-corrected comparison	naive_baseline.sh	evidence/naive_baseline_gate__20260801T181031Z__8f6fa49-dirty.tsv	PASS		8f6fa49-dirty	2026-08-01 18:10:31
naive_vs_foreground	naive session-span vs foreground-only oracle, tolerance_s=90	measure_divergence.sh	evidence/naive_vs_foreground__20260801T123608Z__c228db4-dirty.tsv	RECORDED		c228db4-dirty	2026-08-01 12:36:08
open_session_update	curve at T, events arrive, curve at T+1, and the diff attributed to exactly the sessions that received events	open_session_demo.sh	evidence/open_session_update__20260801T143119Z__a822ff6-dirty.tsv	PASS		a822ff6-dirty	2026-08-01 14:31:19
open_sessions	incremental absorption of open sessions vs one-pass batch truth	test_open_sessions.sh	evidence/open_sessions__20260801T124121Z__c228db4-dirty.tsv	PASS		c228db4-dirty	2026-08-01 12:41:21
oracle_parity	oracle (clickhouse local, CSV) vs serving layer, batch and incremental	parity.sh	evidence/oracle_parity__20260801T193552Z__3be2212.tsv	PASS		3be2212	2026-08-01 19:35:52
oracle_parity_prefix_fail	oracle vs serving BEFORE the double-derive fix in 33cc777: the failure this repo was actually caught by	parity.sh	evidence/oracle_parity__20260801T143648Z__33cc777.tsv	FAIL	finding	33cc777	2026-08-01 14:36:48
peak_not_a_rollup	peak minutes differ across filter tuples, and the overall peak is neither the max nor the sum of per-platform peaks	test_peak.sh	evidence/peak_not_a_rollup__20260801T163759Z__2b1442f-dirty.tsv	PASS		2b1442f-dirty	2026-08-01 16:37:59
reach_budget	reach.sql read budget recalibrated to 3x measured after a real TOO_MANY_ROWS breach	reach_recalibration	evidence/reach_budget__20260801T182737Z__e16e63d-dirty.tsv	PASS		e16e63d-dirty	2026-08-01 18:27:37
