# evidence: end_rule_first_vs_last
# what: cost of treating the FIRST VideoSessionEnd as terminal instead of the last, frozen slice
# run_utc: 2026-08-01 17:41:57
# git: d8ab38e-dirty
# host: ss-cric
# row_count: 2188714
# event_watermark: 2026-08-01 17:07:20.017
# frozen_before: 2026-08-01
# frozen_slice_rows: 905558   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-01 17:34:51   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
metric	value
database	phoenix_next
multi_end_sessions	14	(frozen slice)
max_gap_first_to_last_end_seconds	664
events_after_first_end	70	(a first-end-terminal rule discards these)
of_which_play_or_foreground	9	(not heartbeat noise: a session still watching)
sessions_with_foreground_past_first_end	2
foreground_seconds_at_stake	647
total_foreground_seconds	6658621
share_of_foreground_at_stake_pct	0.0097
peak_minute	2026-07-26 10:56:00
sessions_removed_from_peak_minute	1	(peak would restate by this much)
