# evidence: refresh_insights_phoenix_next
# what: incremental insight refresh into phoenix_next, with the post-conditions that catch an additive re-run
# run_utc: 2026-08-02 01:06:50
# git: 46f5725-dirty
# host: ss-cric
# row_count: 8291251
# event_watermark: 2026-08-02 07:17:58.866
# frozen_before: 2026-08-01
# frozen_slice_rows: 8291251   (event_timestamp < frozen_before, the validated corpus)
# ingest_watermark: 2026-08-02 01:06:47   (NOT REPRODUCIBLE, see below)
# ingest_watermark_warning: ingested_at was added by ALTER after the July rows were loaded.
#   ClickHouse does not rewrite existing parts, so for those 905,558 rows the DEFAULT now()
#   is evaluated AT READ TIME and the column equals the wall clock of whichever query reads
#   it. Proven in evidence/ingested_at_nondeterminism. Do not filter on it.
metric	value
database	phoenix_next
window	2026-08-01 00:00:00 .. 2026-08-03 00:00:00
refresh_seconds	26
spike_seconds	12
spike_content_classified	25
spike_rows_under_final	27
sessions	388604
rows_stored	1328097	(versions, including superseded, before merges collapse them)
rows_under_final	388604	(required equal to sessions: this is what makes a re-run idempotent rather than additive)
invariant.max_rows_per_session	1	(required 1)
invariant.negative_durations	0	(required 0)
invariant.active_exceeds_session_span	0	(required 0)
verdict	PASS
