# evidence: open_sessions
# what: incremental absorption of open sessions vs one-pass batch truth
# run_utc: 2026-08-01 12:41:21
# git: c228db4-dirty
# host: ss-cric
metric	value
sessions_selected	30
events_day1	1994
ends_present_day1	0
day1_asserted_runs	378
day1_provisional_tail_s	-59
day1_peak_while_open	62
day1_minutes_with_audience	99
day2_asserted_runs	391
day2_rows_written	1209
day2_retractions	409
retracted_under_test	76
retracted_bystanders	333
bystanders_total	200
arrival_retracted_under_test	38
arrival_retracted_bystanders	333
arrival_sessions_rederived	228
truth_minutes	5316
incremental_minutes	5316
differing_rows	0
verdict	PASS
tolerance_s	90
pause_inactive	1
